cuisine	types	name	ingredients	difficulty	health_banners	ingredients_parsed
	['dinner', 'lunch', 'supper']	Avocado, roasted broccoli & sesame rice salad	['1 large head broccoli, cut into florets', '1 large red onion, peeled and cut into chunky wedges', '2 tbsp sesame oil', '2 tbsp soy sauce', '2 tbsp rice wine vinegar', '½ tbsp honey', '250g pouch microwavable brown rice, cooked following pack instructions and cooled a little', '1 small avocado, stoned, peeled and sliced', '½ small bunch coriander, roughly chopped', '1 tbsp sesame seeds, toasted', '1 red chilli, finely sliced']	Easy	['Vegetarian']	['larg head broccoli cut floret', 'larg red onion peel cut chunki wedg', 'sesam oil', 'soy sauc', 'rice wine vinegar', 'honey', 'pouch microwav brown rice cook follow instruct cool littl', 'small avocado stone peel slice', 'small bunch coriand rough chop', 'sesam seed toast', 'red chilli fine slice']
['greek']	['dinner', 'main-course']	Greek roast lamb	['1 large leg of lamb, about 3kg/6lb 8oz', '6 garlic cloves', '1 bunch oregano', 'zest and juice 1 lemon', '6 tbsp olive oil', '1 ½kg new potatoes', '400g can chopped tomato', 'large handful pitted baby kalamata olives']	Easy	[]	['larg leg lamb kglb', 'garlic clove', 'bunch oregano', 'zest juic lemon', 'oliv oil', 'potato', 'chop tomato', 'larg hand pit babi kalamata oliv']
['indian']	['dinner', 'main-course']	Healthy tikka masala	['1 large onion, chopped', '4 large garlic cloves', 'thumb-sized piece of ginger', '2 tbsp rapeseed oil', '4 small skinless chicken breasts, cut into chunks', '2 tbsp tikka spice powder', '1 tsp cayenne pepper', '400g can chopped tomatoes', '40g ground almonds', '200g spinach', '3 tbsp fat-free natural yogurt', '½ small bunch of coriander, chopped', 'brown basmati rice, to serve']	Easy	['Freezable', 'Gluten-free', 'Healthy']	['larg onion chop', 'larg garlic clove', 'thumb size ginger', 'rapese oil', 'small skinless chicken breast cut chunk', 'tikka spice powder', 'cayenn pepper', 'chop tomato', 'ground almond', 'spinach', 'fat free natur yogurt', 'small bunch coriand chop', 'brown basmati rice serv']
	['dinner', 'main-course', 'supper']	Slow cooker lamb curry	['1 large onion, halved and sliced', '3 tbsp Madras curry paste', '400g can chopped tomatoes', '2 tsp vegetable bouillon powder', '25g red lentils', '210g can chickpeas (don’t drain)', '1 tbsp grated ginger', '1 tsp cumin seeds', '1 cinnamon stick', '75g curly kale', '2 lean lamb steaks, fat removed, diced (about 240g)', 'cooked brown rice, to serve']	Easy	['Freezable', 'Dairy-free', 'High-protein']	['larg onion halv slice', 'madra curri past', 'chop tomato', 'veget bouillon powder', 'red lentil', 'chickpea', 'grate ginger', 'cumin seed', 'cinnamon', 'cur kale', 'lean lamb steak fat remov dice', 'cook brown rice serv']
['indian']	['dinner', 'main-course']	Nutty chicken curry	['1 large red chilli, deseeded', '½ a finger-length piece fresh root ginger, roughly chopped', '1 fat garlic clove', 'small bunch coriander, stalks roughly chopped', '1 tbsp sunflower oil', '4 skinless chicken breasts, cut into chunks', '5 tbsp peanut butter', '150ml chicken stock', '200g tub Greek yogurt']	Easy	[]	['larg red chilli deseed', 'finger length fresh root ginger rough chop', 'fat garlic clove', 'small bunch coriand stalk rough chop', 'sunflow oil', 'skinless chicken breast cut chunk', 'peanut butter', 'chicken stock', 'tub greek yogurt']
	['dinner', 'lunch', 'supper']	Sweet potato & cauliflower lentil bowl	['1 large sweet potato, skin left on, scrubbed and cut into medium chunks', '1 cauliflower, cut into large florets, stalk diced', '1 tbsp garam masala', '3 tbsp groundnut oil', '2 garlic cloves', '200g puy lentils', 'thumb-sized piece ginger, grated', '1 tsp Dijon mustard', '1½ limes, juiced', '2 carrots', '¼ red cabbage', '½ small pack coriander']	Easy	['Dairy-free', 'Egg-free', 'Gluten-free', 'Healthy', 'Vegan', 'Vegetarian']	['larg sweet potato skin left scrub cut medium chunk', 'cauliflow cut larg floret stalk dice', 'garam masala', 'groundnut oil', 'garlic clove', 'puy lentil', 'thumb size ginger grate', 'dijon mustard', 'lime juic', 'carrot', 'red cabbag', 'small coriand']
	['afternoon-tea', 'dessert', 'treat']	Orange olive oil cake	['1 large whole seedless orange', '½ lemon, juiced and zested', '225ml olive oil, plus extra for the tin', '200g ground almonds', '120g polenta', '1 tsp baking powder (use gluten-free if you need to)', '3 large eggs', '225g golden caster sugar', 'natural yogurt  or crème fraîche, to serve (optional)', '100g golden caster sugar', '½ orange, juiced', '½ lemon, juiced', '6 cardamom pods, seeds removed and ground', '4 rosemary sprigs']	Easy	['Gluten-free', 'Vegetarian']	['larg seedless orang', 'lemon juic zest', 'oliv oil plus extra tin', 'ground almond', 'polenta', 'bake powder', 'larg egg', 'golden caster sugar', 'natur yogurt crème fraîch serv', 'golden caster sugar', 'orang juic', 'lemon juic', 'cardamom pod seed remov ground', 'rosemari sprig']
	['dinner']	Roast chicken risotto with chicken crackling	['1 leftover roast chicken carcass (you’ll need about 300-400g meat, and as much skin as you can get from the carcass)', '1 carrot, halved lengthways', '2 onions, 1 unpeeled and halved, 1 peeled and finely chopped', '2 bay leaves', '2 chicken stock cubes', '25g butter, plus a large knob', '2 tbsp olive oil', '3 large garlic cloves, crushed', '300g risotto rice', '125ml white wine', '½ lemon, zested', 'small bunch of thyme,  leaves picked', '50g grated parmesan, plus extra shavings to serve', 'truffle oil or extra virgin olive oil, for drizzling']	Easy	['Freezable']	['leftov roast chicken carcass', 'carrot halv lengthway', 'onion unpeel halv peel fine chop', 'bay leaf', 'chicken stock', 'butter plus larg knob', 'oliv oil', 'larg garlic clove crush', 'risotto rice', 'white wine', 'lemon zest', 'small bunch thyme leaf pick', 'grate parmesan plus extra shave serv', 'truffl oil extra virgin oliv oil drizzl']
	['lunch']	Mango salad with avocado and black beans	['1 lime, zested and juiced', '1 small mango, stoned, peeled and chopped', '1 small avocado, stoned, peeled and chopped', '100g cherry tomatoes, halved', '1 red chilli, deseeded and chopped', '1 red onion, chopped', '½ small pack coriander, chopped', '400g can black beans, drained and rinsed']	Easy	['Gluten-free', 'Healthy', 'Vegan', 'Vegetarian']	['lime zest juic', 'small mango stone peel chop', 'small avocado stone peel chop', 'cherri tomato halv', 'red chilli deseed chop', 'red onion chop', 'small coriand chop', 'black bean drain rins']
['italian']	['main-course']	Amatriciana chicken traybake	['1 long red chilli', '3 tbsp tomato purée', '3 tbsp olive oil', '3 garlic cloves', '8 skinless chicken thighs', '500g new potato', '4 thyme sprigs', '140g cubetti di pancetta (or smoked bacon lardons)', '400g tomato, half cherry or baby plum, the rest is up to you - any larger ones halved', 'green salad and bread, to serve (optional)']	Easy	['Gluten-free']	['long red chilli', 'tomato puré', 'oliv oil', 'garlic clove', 'skinless chicken thigh', 'potato', 'thyme sprig', 'cubetti di pancetta', 'tomato half cherri babi plum rest larger one halv', 'green salad bread serv']
	['dinner', 'lunch']	Beetroot & halloumi salad with pomegranate and dill	['1 medium red onion, halved and thinly sliced', '2 tbsp apple cider vinegar', '2 oranges', '4 handfuls  rocket leaves', '2 cooked beetroots, chopped', 'drop rapeseed oil, for frying', '80g thinly sliced halloumi, slices halved', '80g pomegranate seeds', '2 tbsp pumpkin seeds', 'handful mint leaves', 'few sprigs dill, chopped']	Easy	['Gluten-free', 'Vegetarian']	['medium red onion halv thin slice', 'appl cider vinegar', 'orang', 'hand rocket leaf', 'cook beetroot chop', 'rapese oil fri', 'thin slice halloumi slice halv', 'pomegran seed', 'pumpkin seed', 'hand mint leaf', 'sprig dill chop']
['italian']	['dinner', 'lunch', 'main-course']	Easy risotto with bacon & peas	['1 onion', '2 tbsp olive oil', 'knob of butter', '6 rashers streaky bacon, chopped ', '300g risotto rice', '1l hot vegetable stock', '100g frozen peas', 'freshly grated parmesan, to serve']	Easy	['Healthy', 'Low calorie']	['onion', 'oliv oil', 'knob butter', 'rasher streaki bacon chop', 'risotto rice', 'hot veget stock', 'frozen pea', 'fresh grate parmesan serv']
['british']	['dinner', 'main-course', 'supper']	Crumbly chicken & mixed vegetable pie	['1 onion', '40g butter', '100g button mushroom', '40g plain flour, plus extra for dusting', '400ml milk, warmed', '1 chicken stock cube', 'pinch  nutmeg', 'pinch  mustard powder', 'bay leaf', '250g cooked chicken', '200g mix of sweetcorn, peas, chopped, peppers, broccoli, carrots or other veg', '250g shortcrust pastry', '1 egg, beaten or milk, for glazing']	Easy	[]	['onion', 'butter', 'button mushroom', 'plain flour plus extra dust', 'milk warm', 'chicken stock', 'nutmeg', 'mustard powder', 'bay leaf', 'cook chicken', 'mix sweetcorn pea chop pepper broccoli carrot veg', 'shortcrust pastri', 'egg beaten milk glaze']
['indian']	['dinner', 'side-dish']	Chickpea, tomato & spinach curry	['1 onion, chopped', '2 garlic cloves, chopped', '3cm piece ginger, grated', '6 ripe tomatoes', '½ tbsp oil', '1 tsp ground cumin', '2 tsp ground coriander', '1 tsp turmeric', 'pinch chilli flakes', '1 tsp yeast  extract (we used Marmite)', '4 tbsp red lentils', '6 tbsp coconut cream', '1 head of broccoli, broken into small florets', '400g can chickpeas, drained', '100g bag baby spinach leaves', '1 lemon, halved', '1 tbsp toasted sesame seeds', '1 tbsp chopped cashews, to mix with the sesame seeds']	Easy	['Healthy', 'Vegan', 'Vegetarian']	['onion chop', 'garlic clove chop', 'ginger grate', 'ripe tomato', 'oil', 'ground cumin', 'ground coriand', 'turmer', 'chilli flake', 'yeast extract', 'red lentil', 'coconut cream', 'head broccoli broken small floret', 'chickpea drain', 'bag babi spinach leaf', 'lemon halv', 'toast sesam seed', 'chop cashew mix sesam seed']
['indian']	['dinner', 'main-course']	Aromatic prawn & cashew curry	['1 onion, chopped', 'thumb-sized piece  ginger, peeled and roughly chopped', '4 garlic cloves, peeled', '2 green chillies, seeds removed', 'small bunch  coriander, stalks roughly chopped, leaves picked', '1 tbsp butter or  ghee', '1 tbsp sunflower oil', '2 tbsp garam masala', '150g bag unsalted cashew', '400g can  chopped tomato', '400ml chicken stock', '400g raw  king prawn', '150ml pot  natural yogurt', '50ml double cream', 'rice and Indian breads, to serve']	Easy	['Freezable']	['onion chop', 'thumb size ginger peel rough chop', 'garlic clove peel', 'green chilli seed remov', 'small bunch coriand stalk rough chop leaf pick', 'butter ghee', 'sunflow oil', 'garam masala', 'bag unsalt cashew', 'chop tomato', 'chicken stock', 'raw king prawn', 'pot natur yogurt', 'doubl cream', 'rice indian bread serv']
['british']	['dinner']	Oven-baked ratatouille & sausages	['1 onion, cut into 16 wedges', '3 courgettes, cut into bite-sized pieces', '1 red pepper, cut into bite-sized pieces', '3 tbsp olive oil', '8 large  pork sausages', '2 garlic cloves, crushed', '400g can  chopped tomato']	Easy	[]	['onion cut wedg', 'courgett cut bite size piec', 'red pepper cut bite size piec', 'oliv oil', 'larg pork sausag', 'garlic clove crush', 'chop tomato']
['italian']	['dinner', 'main-course', 'supper']	Smoked salmon & lemon risotto	['1 onion, finely chopped', '2 tbsp olive oil', '350g risotto rice, such as Arborio', '1 garlic clove, finely chopped', '1 ½l boiling vegetable stock', '170g pack smoked salmon, three-quarters chopped', '85g mascarpone lite', '3 tbsp flat-leaf parsley, chopped', 'grated lemon zest, plus squeeze of juice', 'handful rocket']	Easy	[]	['onion fine chop', 'oliv oil', 'risotto rice arborio', 'garlic clove fine chop', 'boil veget stock', 'smoke salmon three quarter chop', 'mascarpon lite', 'flat leaf parsley chop', 'grate lemon zest plus squeez juic', 'hand rocket']
['british']	['main-course']	Classic roast chicken & gravy	['1 onion, roughly chopped', '2 carrots, roughly chopped', '1 free range chicken, about 1.5kg/3lb 5oz', '1 lemon, halved', 'small bunch thyme  (optional)', '25g butter, softened', '1 tbsp plain flour', '250ml chicken stock (a cube is fine)']	Easy	[]	['onion rough chop', 'carrot rough chop', 'free rang chicken kglb', 'lemon halv', 'small bunch thyme', 'butter soften', 'plain flour', 'chicken stock']
	['dinner', 'main-course', 'supper']	Sweet & sour pork	['1 pork fillet (about 500g), trimmed and cut into 3cm chunks', 'sunflower or vegetable oil, for deep-frying', 'cooked rice or noodles, to serve', '1 tbsp light soy sauce', '2 tbsp shoaxing rice wine or dry sherry', '1 garlic clove, grated', 'thumb-sized piece ginger, grated', '50g cornflour', '½ tsp salt', '1 tsp ground white pepper', '2 tsp celery salt', '2 tsp caster sugar', '1 tbsp sunflower oil', '2 garlic cloves, finely chopped', 'thumb-sized piece ginger, chopped', '1 green or red pepper, roughly chopped', '2 tbsp tomato ketchup', '4 tbsp rice vinegar', '1 tsp sesame oil', '2 tbsp light soy sauce', '1 tbsp soft brown sugar', '300g can pineapple chunks', '1 tbsp sesame seeds', '100g rice flour', '100g cornflour', '1 tsp baking powder']	More effort	[]	['pork fillet trim cut chunk', 'sunflow veget oil deep fri', 'cook rice noodl serv', 'light soy sauc', 'shoax rice wine dri sherri', 'garlic clove grate', 'thumb size ginger grate', 'cornflour', 'salt', 'ground white pepper', 'celeri salt', 'caster sugar', 'sunflow oil', 'garlic clove fine chop', 'thumb size ginger chop', 'green red pepper rough chop', 'tomato ketchup', 'rice vinegar', 'sesam oil', 'light soy sauc', 'soft brown sugar', 'pineappl chunk', 'sesam seed', 'rice flour', 'cornflour', 'bake powder']
	['lunch', 'starter']	Spicy pumpkin soup	['1 pumpkin, about 1.5-2kg (save the seeds – toast them in a dry pan to serve)', '1tbsp garam masala', '2tsp ground coriander ', '2tsp ground cumin', '½-1tsp chilli flakes or powder, plus a pinch ', '3tbsp olive oil', '1 onion, finely chopped', 'ginger, peeled and finely chopped', '2 garlic cloves, finely chopped', '900ml veg stock', '100ml double cream or crème fraiche, plus extra to serve ']	Easy	['Freezable', 'Vegetarian']	['pumpkin', 'garam masala', 'ground coriand', 'ground cumin', 'chilli flake powder plus', 'oliv oil', 'onion fine chop', 'ginger peel fine chop', 'garlic clove fine chop', 'veg stock', 'doubl cream crème fraich plus extra serv']
	['dinner', 'lunch', 'main-course', 'starter', 'supper']	Smoked mackerel, courgette & butter bean salad	['1 red chilli, finely chopped (deseeded if you don’t like it very hot)', '1 lemon, zested and juiced', '2 smoked mackerel fillets, skin removed and broken into large flakes', '1 large courgette, cut into ribbons using a vegetable peeler', '400g can butter beans, drained and rinsed', '3 tbsp extra virgin olive oil, plus extra for drizzling', '1 small pack parsley, roughly chopped', '50g feta, broken into large pieces']	Easy	['Gluten-free']	['red chilli fine chop', 'lemon zest juic', 'smoke mackerel fillet skin remov broken larg flake', 'larg courgett cut ribbon use veget peeler', 'butter bean drain rins', 'extra virgin oliv oil plus extra drizzl', 'small parsley rough chop', 'feta broken larg piec']
	['dinner', 'main-course', 'supper']	Simple sausage traybake	['1 red onion, cut into wedges', '4 new potatoes, thinly sliced', '6 canned or jarred artichokes, halved', '100g cherry tomatoes', '4 spring onions, halved lengthways', '2 pork sausages, cut into chunks', '1 tsp fennel seeds', '1 small lemon, cut into wedges', '½ tbsp olive oil', '400g can  flageolet or  butter beans, drained and rinsed', '150ml low-salt  vegetable stock', '2 tbsp fresh  pesto', 'crusty bread, to serve (optional)']	Easy	['Healthy']	['red onion cut wedg', 'potato thin slice', 'can jar artichok halv', 'cherri tomato', 'spring onion halv lengthway', 'pork sausag cut chunk', 'fennel seed', 'small lemon cut wedg', 'oliv oil', 'flageolet butter bean drain rins', 'low salt veget stock', 'fresh pesto', 'crusti bread serv']
